String ID,Vietnamese Text,Pages,Kind,Locations,Reviewer Feedback
vi-001,Crestway Global | Thành công toàn diện cho sinh viên,Homepage,text,head > title,
vi-002,Crestway Global,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,div.wrap.header-inner > a.brand > div > span.brand-mark; div.wrap > div.footer-top > div > p.brand-mark,
vi-003,Thành công toàn diện cho sinh viên,Ambassadors; Book; Homepage; Partnerships / Universities; Problem,text,div.wrap.header-inner > a.brand > div > span.brand-sub,
vi-004,Menu,About; Ambassadors; Book; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > button.menu-toggle,
vi-005,Giới thiệu,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.is-active,
vi-006,Dịch vụ,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.is-active,
vi-007,Quản trị,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.is-active,
vi-008,Điểm khác biệt,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.is-active,
vi-009,Đối tác,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.is-active,
vi-010,Ngôn ngữ,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,attribute:aria-label,header.site-header > div.wrap.header-inner > nav#primary-nav > div.lang-toggle@aria-label,
vi-011,EN,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,div.wrap.header-inner > nav#primary-nav > div.lang-toggle > a.lang-btn,
vi-012,中文,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,div.wrap.header-inner > nav#primary-nav > div.lang-toggle > a.lang-btn,
vi-013,VI,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,div.wrap.header-inner > nav#primary-nav > div.lang-toggle > a.lang-btn.is-active,
vi-014,Đặt lịch gọi,About; Ambassadors; Book; Difference; Governance; Homepage; Parents; Partnerships; Partnerships / Universities; Problem; Services,text,header.site-header > div.wrap.header-inner > nav#primary-nav > a.nav-cta; div.wrap > div.footer-top > div.footer-links > a; header.site-header > div.wrap.header-inner > nav#primary-nav > a.nav-cta.is-active,
vi-015,An toàn và thành công của con bạn tại Canada — được quản lý bởi những người quan tâm.,Homepage,text,section.hero-home > div.wrap.grid > div.col-8.stack > h1#hero-title,
vi-016,"Hệ thống hỗ trợ chuyên dụng dành cho các gia đình quốc tế, kết hợp giữa chuyên môn tổ chức và chăm sóc mang tính văn hóa.",Homepage,text,section.hero-home > div.wrap.grid > div.col-8.stack > p.hero-lede,
vi-017,Đặt lịch tư vấn,About; Book; Difference; Homepage; Parents,text,div.wrap.grid > div.col-8.stack > div > a.btn.primary; main > section.final-cta > div.wrap > a.btn.primary; div.wrap > div.grid > div.col-4.cta-actions > a.btn.primary; main > section.section > div.wrap.stack > h2#book-title,
vi-018,Học sinh quốc tế đến Canada với sự tự tin.,Homepage,attribute:alt,section.hero-home > div.wrap.grid > div.col-4.hero-image > img@alt,
vi-019,Trường học đối tác đáng tin cậy,Homepage,text,main > section.section.partners-banner > div.wrap > p.eyebrow.partners-eyebrow,
vi-020,Đại học Toronto,Homepage,attribute:alt,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt,
vi-021,Đại học Tây Ontario,Homepage,attribute:alt,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt,
vi-022,Đại học Toronto Metropolitan,Homepage,attribute:alt,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt,
vi-023,Đại học York,Homepage,attribute:alt; text,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt; div.testimonial__slide > div.testimonial__text.stack > div > p.testimonial__school,
vi-024,Đại học Waterloo,Homepage,attribute:alt; text,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt; div.testimonial__slide.is-active > div.testimonial__text.stack > div > p.testimonial__school,
vi-025,Trường Cao đẳng George Brown,Homepage,attribute:alt,div.wrap > div.partners-scroll > div.partners-track > img.partner-logo@alt,
vi-026,Một chuyên viên Crestway Global làm việc một đối một với học sinh.,Homepage,attribute:alt,section.section > div.wrap.grid > div.col-4.frame > img@alt,
vi-027,Chúng Tôi Là Ai,Homepage,text,section.section > div.wrap.grid > div.col-8.stack > p.eyebrow,
vi-028,Một đội ngũ địa phương đáng tin cậy hỗ trợ học sinh quốc tế và gia đình của họ.,Homepage,text,section.section > div.wrap.grid > div.col-8.stack > h2#about-title,
vi-029,"Crestway Global cung cấp sự hỗ trợ có cấu trúc và thực tế, giúp con bạn được hướng dẫn về học thuật, cảm xúc và thực tế — trong khi bạn vẫn được cập nhật và tự tin từ bất cứ đâu trên thế giới.",Homepage,text,section.section > div.wrap.grid > div.col-8.stack > p,
vi-030,Hơn Về Chúng Tôi,Homepage,text,div.wrap.grid > div.col-8.stack > div > a.btn.ghost,
vi-031,Dịch Vụ Của Chúng Tôi,Homepage,text,section.section.bg-sand > div.wrap > div.section-head.stack > p.eyebrow,
vi-032,Sáu trụ cột của thành công học sinh.,Homepage,text,section.section.bg-sand > div.wrap > div.section-head.stack > h2#services-title,
vi-033,"Từ logistics đến việc theo dõi học thuật, chúng tôi hướng dẫn học sinh qua từng giai đoạn trải nghiệm tại Canada của họ.",Homepage,text,section.section.bg-sand > div.wrap > div.section-head.stack > p,
vi-034,Thành phố Toronto — Đến và định cư,Homepage,attribute:alt,div.stack > div.grid > article.col-8.service-card > img@alt,
vi-035,Đến Và Định Cư,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > h3,
vi-036,Học sinh đến và được ở nhà an toàn.,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > p,
vi-037,Sức Khỏe Và Sức Khỏe Tâm Thần,Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > h3,
vi-038,Sức khỏe thể chất và tinh thần được duy trì quanh năm.,Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > p,
vi-039,Theo Dõi Học Thuật,Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > h3,
vi-040,Theo dõi tiến độ và can thiệp khi cần thiết.,Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > p,
vi-041,Môi trường học thuật — Tích hợp văn hóa,Homepage,attribute:alt,div.stack > div.grid > article.col-8.service-card > img@alt,
vi-042,Tích Cực Hóa Văn Hóa,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > h3,
vi-043,Học sinh xây dựng cộng đồng và sự tự tin trong môi trường mới của họ.,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > p,
vi-044,Phụ huynh trong cuộc gọi video — Giao tiếp gia đình,Homepage,attribute:alt,div.stack > div.grid > article.col-8.service-card > img@alt,
vi-045,Giao Tiếp Với Gia Đình,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > h3,
vi-046,Phụ huynh vẫn được cập nhật và kết nối qua khoảng cách.,Homepage,text,div.grid > article.col-8.service-card > div.service-card__content > p,
vi-047,An Toàn Và Bảo Vệ,Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > h3,
vi-048,"Một mạng lưới an toàn đáng tin cậy, bất cứ khi nào học sinh cần.",Homepage,text,div.grid > article.col-4.service-card > div.service-card__content > p,
vi-049,Xem Tất Cả Dịch Vụ,Homepage,text,section.section.bg-sand > div.wrap > div > a.btn.ghost,
vi-050,Tiếng nói của học sinh,Homepage,text,section.section > div.wrap > div.section-head.stack > p.eyebrow,
vi-051,Những học sinh thực sự đã từng ở nơi bạn đang hướng đến.,Homepage,text,section.section > div.wrap > div.section-head.stack > h2#testimonials-title,
vi-052,"Anna, Đại sứ sinh viên",Homepage,attribute:alt,div.testimonial__slides > div.testimonial__slide.is-active > div.testimonial__photo.frame > img@alt,
vi-053,“,Homepage,text,div.testimonial__slides > div.testimonial__slide.is-active > div.testimonial__text.stack > span.testimonial__mark; div.testimonial__slides > div.testimonial__slide > div.testimonial__text.stack > span.testimonial__mark,
vi-054,"Mở lòng để kết bạn. Bạn không phải người duy nhất cảm thấy cô đơn, và việc kết nối với người khác sẽ tạo ra sự khác biệt lớn.",Homepage,text,div.testimonial__slides > div.testimonial__slide.is-active > div.testimonial__text.stack > blockquote,
