Page,Section,English,中文
Homepage,title,Crestway Global | Comprehensive Student Success,Crestway Global | 加拿大国际学生专业监护服务
Homepage,brand-mark,Crestway Global,Crestway Global
Homepage,brand-sub,Comprehensive Student Success,国际学生成功支持
Homepage,menu-toggle,Menu,菜单
Homepage,nav-about,About,关于我们
Homepage,nav-services,Services,服务内容
Homepage,nav-governance,Governance,治理与保障
Homepage,nav-difference,Our Difference,我们的不同
Homepage,nav-partnerships,Partnerships,合作伙伴
Homepage,nav-cta,Apply,申请
Homepage,hero-title,"Ensuring a safer, supported, and more confident journey abroad.",独立不该等于孤身一人。
Homepage,hero-lede,"A premium, dedicated support system for international families, combining institutional expertise with culturally informed care.",开启新生活常伴不确定感，你不必独自面对。
Homepage,hero-cta,Apply for Fall Semester 2026,申请 2026
Homepage,hero-tab-parents,For Parents,家长视角
Homepage,hero-tab-students,For Students,学生视角
Homepage,hero-panel-parents-h2,"Your child is starting school in Canada. You are thousands of miles away.",孩子要去加拿大读书，而你在万里之外。
Homepage,hero-panel-parents-p1,"When challenges arise, a dedicated local advisor is already responding.",当凌晨三点电话响起，你知道当地已经有人接起。
Homepage,hero-panel-parents-p2,"International students encounter complex situations: housing issues, academic complications, culture and emotional challenges. Parents need reliable information about their child's wellbeing and a high-touch response system.",国际学生常面临住宿、学业、文化差异和情感挑战等复杂情况。家长需获取可靠信息了解孩子的身心健康，并获得高效响应支持系统。
Homepage,hero-panel-students-h2,Independent living with professional guidance available when needed.,你想要独立，也得到了。但晚上十点买感冒药时，你需要有人知道去哪儿。
Homepage,hero-panel-students-p1,"Studying abroad offers significant opportunity. However, navigating unfamiliar systems—healthcare, housing, academic requirements—can be challenging without local knowledge.","出国本该令人兴奋，但从签证手续到连吃三天泡面，兴奋很快变成生存模式。"
Homepage,hero-panel-students-p2,Crestway Global provides structured support that enables students to focus on their academic and personal growth.,Crestway Global 面向那些想真正享受这段旅程、而不是仅仅熬过去的学生。
Homepage,rail-1-title,24/7 emergency line,24/7 紧急电话
Homepage,rail-1-p,"Health, wellness, and safety support-answered by someone who knows your student's name.",全天候紧急支持服务。
Homepage,rail-2-title,Monthly parent updates,每月家长更新
Homepage,rail-2-p,"Progress on academics, health, wellness and how they're adjusting socially.",学业进展、健康状况、心理状态及社交适应情况。
Homepage,rail-3-title,Arrival and Settlement Support,抵达与第一周
Homepage,rail-3-p,"Airport reception, housing verification, city orientation.",机场接机、住房检查、城市入门指导。
Homepage,partners-eyebrow,Trusted Partner Schools,
Homepage,partner-logo-alt-1,University of Toronto,
Homepage,partner-logo-alt-2,Western University,
Homepage,partner-logo-alt-3,Toronto Metropolitan University,
Homepage,partner-logo-alt-4,York University,
Homepage,partner-logo-alt-5,University of Waterloo,
Homepage,partner-logo-alt-6,George Brown College,
Homepage,difference-eyebrow,Our Difference,我们的不同
Homepage,difference-title,A trusted human between your family and the unknown.,在家庭与未知之间，有一个值得信赖的人。
Homepage,difference-p,"Crestway Global is a professional support service providing structured, culturally-informed care. Our team maintains regular contact with students, enabling parents to remain informed without managing day-to-day concerns.","Crestway Global 是一项贴心且专业的本地支持服务，既有温度，也懂文化。我们在当地守护学生，让家长保持了解，却不必焦虑地"盯着看"。"
Homepage,difference-card-1-alt,A Crestway Global advisor meeting a student in a campus cafe.,Crestway Global 顾问与学生在校园咖啡馆交流。
Homepage,difference-card-1-h3,"Experienced advisors, local expertise",真实的人，真实的情境
Homepage,difference-card-1-p,"Our team conducts in-person housing assessments, reviews lease documentation, and maintains current knowledge of healthcare systems and insurance protocols.",我们亲自到场，看房、核对房东信息，并知道哪家诊所接受国际保险。
Homepage,difference-card-2-alt,A student and advisor reviewing a weekly plan together.,学生与顾问一起制定每周计划。
Homepage,difference-card-2-h3,Proactive communication,主动，而非被动
Homepage,difference-card-2-p,Scheduled check-ins enable early identification of concerns. Advisors contact families directly when situations require attention.,每周跟进，及时发现苗头，问题还没升级就先解决。
Homepage,difference-card-3-alt,International students walking together in a city neighborhood.,学生在城市中结伴而行。
Homepage,difference-card-3-h3,Support without surveillance,支持，而非监视
Homepage,difference-card-3-p,"Students keep independence, but don't have to solve everything from scratch when life gets complicated.",学生依然自主，但不必从零开始摸索每一件事。
Homepage,keyfacts-eyebrow,Key Facts,关键事实
Homepage,keyfacts-title,Clarity for families. Confidence for students.,给家庭清晰，给学生底气。
Homepage,keyfacts-1-number,24/7,24/7
Homepage,keyfacts-1-p,Emergency support available around the clock.,紧急电话由 Crestway Global 顾问直接接听。
Homepage,keyfacts-2-number,1,1
Homepage,keyfacts-2-p,"Support team in Toronto: mentors, ambassadors, advisors, healthcare professionals.",多领域专家团队驻多伦多，包括导师、校园大使、顾问及医疗专业人士。
Homepage,keyfacts-3-number,Monthly,每月
Homepage,keyfacts-3-p,"Parent updates with actual, specific details.",家长更新，信息具体明确。
Homepage,keyfacts-4-number,Week 1,首周
Homepage,keyfacts-4-p,"Arrival pickup, housing checks, and city orientation.",接机、看房、城市入门。
Homepage,parents-eyebrow,For Parents,给家长
Homepage,parents-title,Distance remains constant. Peace of mind is possible.,太平洋的宽度不变，但你会感觉更近。
Homepage,parents-p,"Families choose Crestway Global because they want to know their child is supported, not just in emergencies, but every day.",家庭选择 Crestway Global 的原因很简单：希望孩子每天都被照顾到，而不仅仅是在紧急时刻。
Homepage,parents-tab-before,Before Crestway Global,使用 Crestway Global 之前
Homepage,parents-tab-after,After Crestway Global,使用 Crestway Global 之后
Homepage,parents-before-1,You call your daughter. She sounds tired. You can't tell if it's finals stress or something worse.,你打给女儿，她说很累，你无法判断是期末压力还是更严重的问题。
Homepage,parents-before-2,Your son says his roommate moved out. You don't know if he can afford rent alone.,儿子说室友搬走了，你不知道他是否负担得起房租。
Homepage,parents-before-3,The school sends a notice about a policy or requirement. You find out a month late.,学校发来政策或手续通知，你一个月后才知道。
Homepage,parents-after-1,Your student's advisor calls you first when something's off. Before it becomes a crisis.,一旦出现问题，顾问会先联系你，在危机前就处理。
Homepage,parents-after-2,"When housing falls through, someone's already scouting new options and checking lease terms.","住房出问题时，新的选择已在筛选中，合同条款也有人把关。"
Homepage,parents-after-3,"You get monthly updates with specifics: housing, engagement, and next steps.",你每月收到具体更新：住宿、校园参与、下一步安排。
Homepage,students-eyebrow,For Students,给学生
Homepage,students-title,You're still running your own life. But you're not figuring everything out from scratch.,你仍在经营自己的生活，但不必从零开始摸索。
Homepage,students-p,"Crestway Global is for students who want to actually enjoy this chapter, not just get through it.",Crestway Global 面向那些想真正享受这段旅程、而不是仅仅熬过去的学生。
Homepage,students-01,A local number to call when you're lost on transit or your debit card got declined.,迷路、公交不懂、银行卡被拒时，有本地号码可打。
Homepage,students-02,Someone who's seen a hundred students bomb their first midterm and knows what actually helps.,有人见过无数学生第一次期中失利，知道真正有效的方法。
Homepage,students-03,Introductions to other international students who get what you're going through.,引荐认识同样经历的国际学生，建立新圈子。
Homepage,students-04,"Help with the unsexy stuff: bank accounts, doctors, and rental agreements.",帮你处理繁琐但重要的事：开户、就医、租房协议。
Homepage,ambassadors-eyebrow,Student Ambassadors,学生大使
Homepage,ambassadors-title,Real students who've been where you're going.,他们走过你即将踏上的路。
Homepage,ambassadors-p,"Our ambassadors are current international students at Canadian universities. They represent Crestway Global on campus, host study groups, and help new students navigate everything from transit to homesickness.",我们的大使是在加拿大大学就读的在校国际学生。他们代表 Crestway Global 参与校园活动，组织学习小组，帮助新生处理从交通到思乡的一切问题。
Homepage,ambassador-anna-alt,"Anna, Student Ambassador at University of Waterloo","Anna，滑铁卢大学学生大使"
Homepage,ambassador-anna-name,Anna,Anna
Homepage,ambassador-anna-school,University of Waterloo,滑铁卢大学
Homepage,ambassador-anna-program,"Computer Science, 3rd Year","计算机科学，大三"
Homepage,ambassador-anna-quote,"""Be open to making friends. You're not the only one feeling alone.""","""敞开心扉交朋友。你不是唯一感到孤独的人。"""
Homepage,ambassador-ridhima-alt,"Ridhima, Student Ambassador at York University","Ridhima，约克大学学生大使"
Homepage,ambassador-ridhima-name,Ridhima,Ridhima
Homepage,ambassador-ridhima-school,York University,约克大学
Homepage,ambassador-ridhima-program,"Commerce (Finance), 3rd Year","商科（金融），大三"
Homepage,ambassador-ridhima-quote,"""Take small steps every day to step outside your comfort zone.""","""每天迈出一小步，走出舒适区。"""
Homepage,ambassador-tien-alt,"Tien, Student Ambassador at York University","Tien，约克大学学生大使"
